Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,NumWebVisitsMonth,Complain,Response,Days_is_client,Kids,Expenses,TotalAcceptedCmp,TotalNumPurchases
1975,Postgraduate,Partner,60631,4/5/2013,88,7,0,0,450,2,661,1,24
1952,Graduate,Partner,28332,4/30/2014,58,2,0,0,60,0,65,0,8
1977,Graduate,Single,40246,12/19/2012,68,6,0,0,557,1,13,0,4
1972,Postgraduate,Partner,75251,8/27/2012,34,5,0,1,671,0,1890,0,19
1976,Graduate,Single,75825,10/12/2012,40,4,0,1,625,0,2209,1,22
1976,Graduate,Partner,26326,9/4/2013,12,3,1,0,298,0,18,0,4
1965,Graduate,Partner,56046,1/2/2013,9,8,0,1,543,0,692,1,21
1985,Graduate,Single,29760,8/29/2012,87,8,0,0,669,1,165,0,12
1969,Graduate,Partner,26304,6/23/2013,5,7,0,0,371,1,16,0,4
1973,Graduate,Partner,23559,7/3/2013,87,7,0,0,361,1,79,0,9
1987,Graduate,Single,81361,2/25/2014,18,1,0,0,124,0,778,0,27
1960,Graduate,Partner,29440,8/11/2013,95,7,0,0,322,2,56,0,7
1970,Postgraduate,Partner,36138,7/16/2013,48,7,0,0,348,2,151,1,13
1957,Graduate,Single,50388,5/28/2014,3,7,0,1,32,1,372,2,17
1973,Graduate,Partner,79593,5/12/2014,70,2,0,0,48,0,1366,1,19
1967,Graduate,Partner,54178,1/21/2014,79,2,0,0,159,1,194,0,10
1972,Postgraduate,Single,42394,3/23/2014,69,7,0,0,98,1,32,0,5
1970,Postgraduate,Partner,23626,5/24/2014,84,5,0,0,36,1,43,0,10
1983,Graduate,Partner,30096,5/22/2014,30,6,0,0,38,1,45,0,6
1960,Graduate,Single,47916,11/22/2012,72,6,0,0,584,1,606,1,22
1972,Graduate,Single,51813,4/11/2013,37,7,0,0,444,2,63,0,7
1951,Graduate,Partner,78497,12/1/2013,44,2,0,0,210,0,978,1,25
1983,Postgraduate,Partner,50150,6/20/2013,32,5,0,0,374,0,410,0,16
1960,Graduate,Single,47823,7/23/2013,0,8,0,0,341,1,72,0,7
1959,Postgraduate,Single,34554,3/30/2014,43,6,0,0,91,1,55,0,7
1979,Graduate,Partner,85693,4/20/2013,59,5,0,0,435,1,1169,0,27
1945,Postgraduate,Partner,65846,5/17/2013,68,4,0,0,408,0,1120,0,16
1959,Graduate,Partner,87195,5/8/2014,35,1,0,1,52,0,1097,0,20
1979,Undergraduate,Partner,24594,12/10/2013,94,5,0,0,201,1,29,0,5
1964,Graduate,Partner,49096,9/24/2013,15,7,0,0,278,2,187,0,13
1969,Graduate,Partner,52413,2/2/2013,56,6,0,0,512,2,910,0,26
1978,Graduate,Single,38557,12/19/2012,17,7,0,0,557,1,145,0,9
1960,Postgraduate,Partner,89058,12/7/2012,18,2,0,0,569,0,850,0,14
1979,Graduate,Partner,77298,11/2/2013,46,3,0,0,239,1,969,0,24
1991,Postgraduate,Single,68126,11/10/2012,40,9,0,1,596,0,1820,1,17
1963,Postgraduate,Partner,57288,6/25/2014,27,6,0,0,4,1,608,1,20
1991,Graduate,Single,86037,1/2/2013,95,3,0,1,543,0,730,2,25
1980,Postgraduate,Partner,43974,12/12/2012,19,7,0,0,564,1,551,0,21
1962,Graduate,Single,50785,9/10/2013,27,6,0,0,292,2,114,0,8
1970,Graduate,Partner,90765,1/24/2014,25,1,0,0,156,0,1724,2,15
1978,Graduate,Partner,36550,2/19/2013,74,9,0,0,495,1,577,0,20
1967,Graduate,Partner,30753,7/11/2013,85,5,0,0,353,2,81,0,7
1969,Graduate,Partner,21918,11/14/2013,37,6,0,0,227,1,33,0,7
1953,Postgraduate,Partner,56129,6/20/2013,65,4,0,0,374,1,660,0,22
1967,Postgraduate,Single,32557,2/24/2014,13,5,0,1,125,1,80,0,9
1985,Postgraduate,Partner,19510,9/4/2013,63,7,0,0,298,2,30,0,6
1976,Graduate,Single,30992,4/22/2013,83,7,0,0,433,1,43,0,5
1983,Graduate,Single,101970,3/12/2013,69,2,0,1,474,0,1135,3,27
1965,Graduate,Partner,71488,2/18/2013,87,1,0,0,496,0,559,0,16
1984,Graduate,Single,79607,4/21/2013,37,1,0,1,434,0,1923,0,16
1953,Postgraduate,Partner,54348,6/8/2014,51,6,0,0,21,2,90,0,8
1956,Postgraduate,Partner,77376,5/10/2014,72,4,0,0,50,2,661,0,23
1952,Graduate,Partner,62998,9/30/2013,10,5,0,0,272,1,463,0,19
1958,Postgraduate,Single,61331,3/10/2013,42,8,0,0,476,2,632,0,23
1969,Graduate,Partner,73448,2/10/2014,10,4,0,0,139,0,725,0,19
1964,Postgraduate,Partner,41551,8/14/2013,51,8,0,0,319,2,279,0,16
1967,Postgraduate,Partner,62981,3/17/2013,21,3,0,0,469,0,1482,1,23
1976,Undergraduate,Single,9548,8/8/2012,31,8,0,0,690,1,29,0,6
1959,Postgraduate,Partner,33762,7/7/2013,61,8,0,0,357,3,106,0,9
1973,Postgraduate,Single,35860,5/19/2014,37,5,0,1,41,2,49,1,6
1965,Postgraduate,Single,36921,7/28/2013,74,7,0,0,336,2,38,0,7
1992,Postgraduate,Single,92859,10/19/2012,46,2,0,0,618,0,2077,0,22
1976,Postgraduate,Partner,65104,11/14/2013,4,7,0,1,227,1,1053,0,17
1962,Graduate,Partner,86111,4/19/2013,73,2,0,0,436,0,1385,0,23
1974,Postgraduate,Single,68352,8/28/2013,47,6,0,0,305,1,871,0,25
1988,Graduate,Partner,41883,3/19/2013,13,7,0,0,467,1,312,0,12
1976,Graduate,Partner,59809,10/18/2012,36,8,0,0,619,2,877,0,15
1975,Graduate,Partner,23957,10/28/2012,47,6,0,1,609,1,68,0,6
1981,Graduate,Partner,38547,8/28/2013,49,8,1,0,305,1,22,0,4
1973,Graduate,Partner,35688,8/22/2012,94,8,0,0,676,3,211,0,16
1966,Postgraduate,Partner,49605,6/21/2014,65,3,0,0,8,0,127,0,8
1953,Postgraduate,Partner,59354,4/24/2014,59,3,0,0,66,2,459,0,16
1969,Graduate,Partner,65747,3/7/2014,96,6,0,0,114,1,460,1,19
1972,Graduate,Partner,46344,12/14/2012,28,7,0,0,562,1,429,0,17
1988,Graduate,Single,34176,5/12/2014,12,6,0,0,48,1,89,0,11
1952,Postgraduate,Partner,61010,10/9/2012,57,5,0,0,628,1,1021,0,26
1949,Graduate,Partner,69372,2/19/2013,10,4,0,1,495,0,1381,2,21
1958,Graduate,Single,49967,7/8/2013,4,7,0,0,356,1,306,0,15
1978,Graduate,Single,60199,9/12/2013,49,4,0,0,290,3,18,0,4
1977,Graduate,Partner,55375,10/17/2013,3,2,0,0,255,1,162,0,9
1955,Graduate,Single,80317,8/20/2013,64,1,0,0,313,0,1231,0,18
1958,Postgraduate,Single,30523,7/1/2013,0,7,0,0,363,3,13,0,4
1945,Postgraduate,Partner,70356,11/5/2012,20,6,0,0,601,0,1706,0,27
1984,Graduate,Partner,23228,1/5/2014,91,8,0,0,175,1,121,0,11
1975,Postgraduate,Single,74165,5/1/2013,9,2,0,0,424,0,1293,0,20
1973,Postgraduate,Partner,157243,3/1/2014,98,0,0,0,120,1,1608,0,37
1966,Graduate,Partner,43482,11/13/2013,83,6,0,0,228,3,88,0,9
1953,Graduate,Single,62551,11/18/2013,27,3,0,0,223,0,421,1,18
1959,Graduate,Single,52332,8/28/2013,63,4,0,0,305,0,259,1,12
1988,Graduate,Single,66951,11/2/2013,46,1,0,0,239,0,1117,0,15
1957,Graduate,Partner,26091,2/25/2014,84,5,0,0,124,2,89,0,9
1965,Graduate,Partner,33456,4/21/2014,58,7,0,0,69,2,36,0,6
1982,Graduate,Partner,28718,7/13/2013,78,8,0,0,351,1,57,0,7
1970,Graduate,Partner,50447,4/21/2014,4,6,0,0,69,2,148,0,8
1959,Postgraduate,Partner,53537,1/30/2014,17,5,0,0,150,2,93,0,8
1967,Graduate,Single,52074,4/4/2014,77,4,0,0,86,1,119,1,7
1975,Postgraduate,Partner,80427,9/12/2012,56,5,0,0,655,1,1835,0,28
1948,Postgraduate,Partner,83837,12/16/2012,79,4,0,1,560,0,1318,2,25
1970,Postgraduate,Partner,38853,5/23/2014,90,7,0,0,37,2,45,0,7
1959,Graduate,Partner,38285,6/24/2014,96,2,0,0,5,3,10,0,4
1976,Postgraduate,Partner,51650,5/11/2014,81,5,0,0,49,1,191,0,10
1988,Graduate,Partner,16248,5/10/2014,77,6,0,0,50,1,57,0,9
1946,Postgraduate,Partner,66835,9/28/2013,21,2,0,0,274,0,1033,0,24
1984,Postgraduate,Partner,30477,1/22/2014,16,6,0,0,158,1,66,0,6
1961,Undergraduate,Partner,28249,6/15/2014,80,6,0,0,14,0,43,0,6
1983,Graduate,Partner,25271,12/5/2012,45,9,0,0,571,1,50,0,5
1970,Postgraduate,Single,32303,3/8/2014,63,5,0,0,113,1,39,0,7
1966,Graduate,Partner,61286,8/2/2013,34,5,0,0,331,1,608,0,18
1976,Graduate,Partner,74068,3/19/2013,14,2,0,0,467,0,1581,0,24
1964,Postgraduate,Partner,45759,2/23/2013,13,7,0,0,491,2,68,0,7
1978,Undergraduate,Partner,24882,9/9/2012,52,6,0,0,658,1,80,1,5
1989,Postgraduate,Partner,66973,5/17/2013,98,3,0,0,408,0,1282,0,28
1900,Graduate,Single,36640,9/26/2013,99,5,1,0,276,1,65,0,6
1988,Graduate,Partner,38872,5/30/2013,93,8,0,0,395,1,91,0,8
1973,Graduate,Partner,51148,2/18/2013,38,6,0,0,496,2,315,0,16
1977,Graduate,Partner,31353,12/29/2013,24,8,0,0,182,2,31,0,6
1980,Postgraduate,Partner,69661,5/13/2014,80,3,0,0,47,0,834,0,23
1954,Graduate,Partner,80067,9/19/2013,82,2,0,0,283,0,1600,1,17
1954,Graduate,Partner,86718,1/17/2013,20,2,0,0,528,0,1270,0,17
1973,Postgraduate,Single,46854,3/31/2014,81,8,0,1,90,2,263,1,15
1952,Graduate,Single,69142,6/29/2014,50,5,0,0,0,1,535,1,19
1968,Graduate,Single,75922,12/9/2013,60,1,0,0,202,0,1295,0,18
1978,Graduate,Single,63693,10/14/2013,63,6,0,0,258,1,1150,0,29
1977,Postgraduate,Partner,102160,11/2/2012,54,4,0,1,604,0,1240,3,26
1965,Postgraduate,Single,40637,7/17/2013,72,7,0,0,347,2,38,0,6
1984,Postgraduate,Single,18890,11/10/2012,5,6,0,1,596,0,35,1,4
1988,Graduate,Partner,29604,12/8/2013,88,9,0,0,203,1,53,1,5
1963,Postgraduate,Single,48721,5/13/2013,50,6,0,0,412,2,293,0,17
1966,Graduate,Partner,44794,6/8/2014,99,6,0,0,21,1,65,0,6
1954,Graduate,Single,64497,9/10/2012,17,8,0,1,657,1,1804,1,29
1956,Graduate,Partner,46097,3/31/2013,11,4,0,0,455,1,241,0,15
1954,Graduate,Partner,77972,3/18/2014,18,1,0,0,103,0,1101,0,20
1968,Postgraduate,Partner,44377,10/5/2012,70,8,0,0,632,2,264,0,19
1974,Postgraduate,Partner,46014,1/21/2013,21,7,0,0,524,2,541,0,26
1985,Graduate,Partner,70951,5/4/2013,66,1,0,0,421,0,1198,0,17
1977,Graduate,Partner,41443,4/1/2014,79,8,0,0,89,1,482,0,20
1978,Graduate,Single,52195,5/12/2014,2,8,0,0,48,3,17,0,4
1948,Postgraduate,Partner,83790,11/15/2013,81,3,0,0,226,0,1615,2,25
1954,Postgraduate,Single,44551,8/31/2013,24,7,0,0,302,1,285,0,12
1980,Graduate,Partner,69508,11/14/2012,48,6,0,0,592,1,1135,0,28
1988,Graduate,Partner,45204,4/11/2014,93,3,0,0,79,1,114,0,7
1969,Graduate,Partner,72460,11/14/2013,56,1,0,0,227,0,1047,0,16
1970,Postgraduate,Partner,77622,4/14/2014,3,3,0,0,76,2,714,0,22
1980,Postgraduate,Partner,30732,1/5/2013,44,8,0,0,540,1,185,0,13
1962,Graduate,Single,63887,9/8/2012,38,6,0,0,659,1,1245,0,32
1978,Graduate,Partner,42011,3/26/2013,46,8,0,0,460,1,189,0,12
1976,Graduate,Partner,51369,10/25/2012,84,8,0,0,612,1,576,0,16
1952,Graduate,Single,51537,12/9/2012,27,8,0,0,567,1,1103,0,18
1972,Postgraduate,Partner,79930,8/8/2012,72,2,0,0,690,0,1753,0,17
1986,Postgraduate,Partner,34320,2/16/2014,66,8,0,0,133,1,17,0,4
1966,Graduate,Single,37070,3/20/2013,30,7,0,1,466,2,433,0,23
1962,Graduate,Single,81975,1/5/2013,2,7,0,0,540,1,1588,1,14
1971,Graduate,Partner,38590,5/15/2013,65,8,0,0,410,1,22,0,4
1951,Graduate,Single,15033,4/16/2014,37,3,0,0,74,0,19,0,5
1965,Postgraduate,Partner,62745,3/23/2013,89,5,0,0,463,1,1117,0,29
1975,Graduate,Partner,22212,12/9/2013,49,6,0,0,202,1,69,0,8
1982,Postgraduate,Partner,23661,12/4/2013,46,7,0,0,207,1,23,0,5
1958,Postgraduate,Single,79761,10/4/2013,32,3,0,0,268,1,605,0,19
1973,Graduate,Single,7500,12/26/2013,54,7,0,0,185,1,57,0,11
1893,Graduate,Single,60182,5/17/2014,23,4,0,0,43,1,22,0,4
1968,Graduate,Single,73455,10/28/2013,98,3,0,0,244,0,2088,1,22
1958,Graduate,Partner,64961,12/23/2012,97,3,0,0,553,1,1009,0,16
1971,Graduate,Single,22804,7/31/2013,75,9,0,0,333,1,26,0,5
1990,Graduate,Partner,73687,11/28/2013,8,2,0,1,213,0,1627,1,22
1958,Graduate,Partner,61074,8/17/2012,37,7,0,0,681,1,1102,0,31
1964,Postgraduate,Partner,31686,6/5/2014,31,6,0,0,24,2,17,0,6
1972,Graduate,Partner,80134,5/20/2013,40,6,0,1,405,1,1690,3,16
1953,Graduate,Partner,75027,1/9/2013,74,5,0,0,536,1,1390,0,21
1988,Postgraduate,Partner,67546,8/31/2012,90,3,0,0,667,0,2126,0,20
1969,Postgraduate,Partner,65176,10/29/2012,57,6,0,0,608,1,1531,0,25
1975,Postgraduate,Single,31160,9/16/2013,59,8,0,0,286,1,64,0,7
1985,Graduate,Single,29938,10/27/2013,52,6,0,0,245,1,26,0,6
1974,Graduate,Single,102692,4/5/2013,5,2,0,1,450,0,1112,4,29
1958,Graduate,Partner,26490,9/22/2012,92,6,0,0,645,0,210,0,11
1967,Graduate,Partner,75702,8/29/2012,77,8,0,0,669,2,1148,0,26
1974,Postgraduate,Single,30899,10/13/2012,35,6,0,0,624,1,33,0,6
1961,Postgraduate,Partner,63342,10/16/2012,48,6,0,0,621,1,1101,1,19
1964,Graduate,Single,45989,10/22/2012,97,3,0,0,615,1,322,0,16
1964,Graduate,Single,18701,6/4/2013,95,5,0,0,390,2,44,0,10
1957,Postgraduate,Single,40737,12/8/2013,24,8,0,0,203,3,17,0,4
1979,Graduate,Single,15287,10/10/2012,60,7,0,1,627,1,31,1,6
1968,Postgraduate,Single,69674,5/22/2013,46,5,0,0,403,2,845,0,25
1970,Postgraduate,Partner,44159,6/17/2014,85,5,0,0,12,1,275,0,15
1978,Postgraduate,Partner,37717,11/23/2012,31,9,0,0,583,1,25,0,4
1952,Postgraduate,Partner,43776,2/3/2013,9,8,0,1,511,2,275,0,17
1966,Postgraduate,Partner,38179,3/14/2013,30,7,0,0,472,2,90,0,11
1963,Graduate,Partner,80124,6/26/2014,47,1,0,0,3,0,1495,1,19
1970,Postgraduate,Partner,38097,10/15/2012,70,7,0,1,622,2,184,1,11
1970,Graduate,Partner,72940,6/19/2013,13,1,0,0,375,0,981,0,13
1970,Graduate,Partner,22070,10/4/2013,11,6,0,0,268,1,67,0,8
1953,Graduate,Single,69267,9/22/2012,31,7,0,1,645,0,1635,0,14
1983,Postgraduate,Single,31788,3/20/2014,15,5,1,0,101,1,60,0,10
1975,Postgraduate,Partner,61905,2/4/2014,2,5,0,0,145,1,231,0,12
1960,Graduate,Partner,29315,4/6/2014,55,6,0,0,84,2,48,0,10
1963,Graduate,Single,33378,2/6/2013,38,7,0,0,508,2,99,0,9
1963,Postgraduate,Partner,66313,9/16/2013,86,4,0,0,286,1,770,0,23
1956,Graduate,Single,60714,1/17/2013,56,5,0,1,528,0,957,0,23
1981,Postgraduate,Partner,77882,4/30/2014,29,1,0,0,60,0,818,0,12
1986,Postgraduate,Single,69867,4/2/2013,30,1,0,1,453,0,925,1,17
1968,Postgraduate,Single,63841,4/21/2013,64,6,0,0,434,1,908,0,22
1981,Undergraduate,Partner,24480,2/11/2013,46,7,0,0,503,1,102,0,10
1974,Postgraduate,Partner,65640,3/1/2014,74,2,0,0,120,1,461,0,15
1975,Postgraduate,Partner,44319,4/17/2014,18,5,0,0,73,2,37,0,7
1974,Graduate,Partner,30631,7/12/2013,75,7,0,0,352,1,70,0,7
1952,Graduate,Partner,75278,1/29/2013,17,3,0,0,516,0,930,0,23
1956,Postgraduate,Partner,50898,1/8/2013,88,5,0,0,537,2,859,0,33
1966,Graduate,Single,79946,5/12/2014,19,3,0,0,48,0,1478,0,22
1949,Postgraduate,Single,35416,6/13/2013,62,8,0,0,381,0,390,0,16
1984,Graduate,Partner,32414,7/4/2013,11,7,0,0,360,0,52,1,5
1969,Graduate,Partner,38361,12/27/2013,74,7,0,0,184,1,137,0,10
1980,Graduate,Partner,82497,10/31/2012,32,4,0,0,606,0,1919,1,19
1971,Graduate,Partner,16626,1/15/2014,76,9,0,0,165,2,68,0,9
1965,Graduate,Partner,29672,3/12/2013,6,6,0,0,474,2,25,0,4
1952,Postgraduate,Partner,55951,8/23/2012,62,8,0,0,675,1,1374,2,23
1988,Graduate,Single,35388,3/7/2013,20,7,0,0,479,1,32,0,5
1986,Postgraduate,Partner,42386,1/13/2013,43,8,0,0,532,1,100,0,7
1982,Graduate,Single,68627,1/12/2013,45,1,0,0,533,0,825,0,12
1965,Postgraduate,Single,57912,3/17/2014,34,5,0,0,104,1,916,1,28
1958,Graduate,Single,35246,4/16/2014,53,5,0,0,74,2,62,0,11
1956,Graduate,Partner,58821,10/12/2013,44,6,0,0,260,1,728,0,21
1978,Postgraduate,Partner,46377,3/1/2014,89,4,0,0,120,1,90,0,7
1988,Graduate,Single,39747,4/13/2014,43,8,0,0,77,1,273,0,13
1984,Graduate,Partner,23976,12/27/2013,68,7,0,0,184,1,66,0,10
1961,Postgraduate,Partner,80950,3/28/2013,44,2,0,0,458,0,1213,1,23
1966,Graduate,Single,27038,9/18/2012,64,9,0,1,649,0,107,0,7
1947,Graduate,Single,77457,3/5/2014,85,1,0,0,116,0,1157,1,18
1964,Postgraduate,Partner,64100,9/10/2013,93,7,0,0,292,1,546,1,18
1992,Postgraduate,Partner,42670,4/27/2013,12,4,0,0,428,0,241,0,11
1976,Graduate,Single,12571,1/18/2014,86,6,0,0,162,1,53,0,11
1967,Graduate,Partner,22574,10/28/2013,28,7,0,0,244,3,37,0,7
1976,Postgraduate,Single,70893,2/6/2013,42,3,0,0,508,0,1508,0,23
1966,Graduate,Partner,54198,12/17/2013,13,4,0,0,194,2,235,0,16
1956,Postgraduate,Partner,28839,3/11/2014,86,5,0,0,110,2,32,0,7
1972,Graduate,Partner,40321,7/29/2013,59,7,0,0,335,2,102,0,8
1985,Graduate,Single,66503,8/14/2012,30,3,0,0,684,1,401,0,15
1951,Graduate,Partner,30833,7/16/2013,33,5,0,0,348,2,28,0,6
1971,Graduate,Partner,64795,1/17/2013,23,2,0,0,528,1,680,0,21
1974,Graduate,Partner,34421,7/1/2013,81,7,0,0,363,1,30,0,4
1965,Postgraduate,Single,47025,2/9/2014,6,7,0,0,140,2,20,0,4
1961,Postgraduate,Single,64325,2/7/2013,41,7,0,0,507,1,1307,0,23
1953,Graduate,Single,40464,1/11/2013,78,8,0,0,534,1,630,0,24
1957,Graduate,Partner,62187,7/5/2013,49,3,0,0,359,0,1283,0,18
1976,Postgraduate,Single,14849,7/2/2013,39,8,0,0,362,1,65,0,9
1984,Graduate,Partner,27255,11/7/2013,3,7,0,0,234,1,37,0,5
1950,Postgraduate,Partner,54432,5/9/2013,37,4,0,0,416,3,38,0,5
1986,Postgraduate,Single,29999,2/13/2013,22,8,0,0,501,1,160,0,12
1983,Graduate,Single,24072,4/16/2013,79,8,0,0,439,1,23,0,4
1989,Postgraduate,Single,33996,9/11/2013,46,4,0,0,291,0,71,0,6
1956,Postgraduate,Partner,66334,4/3/2013,82,5,0,1,452,1,1161,0,19
1971,Postgraduate,Partner,35178,1/10/2013,10,7,0,1,535,1,59,1,5
1983,Graduate,Partner,22010,6/30/2013,51,8,0,0,364,1,33,0,7
1960,Graduate,Single,62204,9/12/2012,38,3,0,0,655,2,946,0,22
1968,Graduate,Single,75693,12/6/2012,10,4,0,1,570,0,1442,3,22
1972,Graduate,Partner,30675,11/12/2012,14,8,0,0,594,1,62,0,5
1965,Graduate,Partner,83003,3/3/2013,18,3,0,1,483,0,1674,1,22
1899,Postgraduate,Partner,83532,9/26/2013,36,1,0,0,276,0,1853,1,15
1988,Graduate,Single,68655,8/10/2012,95,3,0,0,688,0,1538,0,21
1986,Graduate,Single,41411,12/7/2013,11,6,0,0,204,0,139,0,8
1969,Postgraduate,Partner,55212,11/23/2012,65,8,0,0,583,1,1182,2,20
1950,Postgraduate,Partner,59292,6/13/2013,71,3,0,0,381,1,507,0,18
1973,Undergraduate,Partner,27190,8/15/2013,13,8,0,1,318,1,18,1,4
1952,Graduate,Single,82623,11/10/2013,58,1,0,0,231,0,940,0,16
1965,Graduate,Partner,44300,6/23/2013,65,6,0,0,371,2,42,0,6
1970,Graduate,Single,84835,6/16/2014,0,1,0,1,13,0,1190,0,15
1971,Graduate,Single,30372,12/25/2012,33,7,0,0,551,2,44,0,8
1976,Postgraduate,Partner,33181,1/3/2014,90,6,0,0,177,1,16,1,4
1957,Graduate,Partner,71113,12/17/2013,95,4,0,0,194,1,835,0,26
1986,Graduate,Partner,71952,1/10/2013,93,4,0,0,535,1,1443,2,22
1966,Postgraduate,Single,69759,10/28/2013,38,3,0,1,244,0,1029,0,18
1974,Graduate,Partner,72099,10/27/2012,18,1,0,0,610,0,1188,0,18
1976,Postgraduate,Single,60000,12/22/2012,57,6,0,0,554,1,1277,0,24
1978,Graduate,Single,38643,11/29/2013,45,7,1,0,212,2,49,0,7
